Analysis: Scenario 1
Length Units,centimeter
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
18, -25.4349, -13.2548, -4.99901, 3.35661, 4006.99, -490.552, 41.7607, -3976.22, 1938.44, 0, 0, 0.00120473, 0.0001817, 0.0116223, -0.00353095, 0.0806658, 0.0837892, 0, 0, 1.01519e+06, 1.02486e+06, 0.799104, 0.120941
19, -25.4349, -13.2419, -5.19604, 3.55406, 3996.25, -492.439, 46.5351, -3965.3, 1901.51, 0, 0, 0.00120473, 0.0001817, 0.0128481, -0.00202838, 0.0938747, 0.0958118, 0, 0, 1.01515e+06, 1.02477e+06, 0.794802, 0.120617
20, -25.4349, -13.2291, -5.39306, 3.75151, 3974.03, -493.628, 50.4086, -3942.85, 1880.14, 0, 0, 0.00120473, 0.0001817, 0.0132846, -0.00166327, 0.109304, 0.110513, 0, 0, 1.01513e+06, 1.02465e+06, 0.786263, 0.119946
21, -25.4349, -13.2162, -5.59009, 3.94896, 3895.1, -483.519, 58.4985, -3863.9, 1880.88, 0, 0, 0.00120473, 0.0001817, 0.0132079, -0.0159559, 0.162777, 0.166253, 0, 0, 1.01513e+06, 1.02429e+06, 0.75637, 0.117564
22, -25.4349, -13.2162, -5.88135, 4.24022, 3895.81, -489.346, 63.1347, -3864.32, 1856.93, 0, 0, 0.00120473, 0.0001817, 0.0127038, -0.013037, 0.137127, 0.138869, 0, 0, 1.01511e+06, 1.02425e+06, 0.755705, 0.117586
23, -25.4349, -13.2162, -6.17262, 4.53148, 3809.37, -477.109, 66.9526, -3778.5, 1811.5, 0, 0, 0.00120473, 0.0001817, 0.0134352, -0.0244829, 0.23432, 0.236554, 0, 0, 1.01506e+06, 1.02382e+06, 0.723823, 0.114977
24, -25.4349, -13.2162, -6.46388, 4.82274, 3743.15, -460.826, 67.5698, -3714.03, 1729.52, 0, 0, 0.00120473, 0.0001817, 0.0137833, -0.026613, 0.249778, 0.251889, 0, 0, 1.01498e+06, 1.02343e+06, 0.697777, 0.112978
25, -25.4349, -13.2162, -6.75514, 5.114, 3682.64, -451.316, 67.1603, -3654.04, 1640.37, 0, 0, 0.00120473, 0.0001817, 0.0125964, -0.0295885, 0.322313, 0.325144, 0, 0, 1.01489e+06, 1.02308e+06, 0.676306, 0.111152
26, -25.4349, -13.2162, -7.0464, 5.40526, 3606.2, -438.19, 72.5628, -3578.47, 1623.22, 0, 0, 0.00120473, 0.0001817, 0.0130221, -0.0456972, 0.332164, 0.336409, 0, 0, 1.01487e+06, 1.02271e+06, 0.647761, 0.108845
27, -25.4349, -13.2162, -7.33766, 5.69652, 3519.16, -425.635, 72.4995, -3492.49, 1631.23, 0, 0, 0.00120473, 0.0001817, 0.0111892, -0.0500456, 0.418845, 0.422282, 0, 0, 1.01488e+06, 1.02235e+06, 0.617225, 0.106217
28, -25.4349, -13.2162, -7.62892, 5.98778, 3422.57, -403.182, 68.8186, -3397.91, 1556.86, 0, 0, 0.00120473, 0.0001817, 0.00855182, -0.0624011, 0.478453, 0.48375, 0, 0, 1.01481e+06, 1.02186e+06, 0.583111, 0.103302
29, -25.4349, -13.2162, -7.92018, 6.27904, 0, 0, 0, 0, 1350.77, 0, 0, 0.00120473, 0.0001817, -2.79101, -8.62598, 84.516, 85.3711, 0.00458224, 0, 1.0146e+06, 1.0146e+06, 0, 0
30, -25.4349, -13.2162, -8.21144, 6.5703, 0, 0, 0, 0, 831.315, 0, 0, 0.00120473, 0.0001817, -1.48643, -4.37135, 54.2695, 54.6503, 0.00288553, 0, 1.01408e+06, 1.01408e+06, 0, 0
31, -25.4349, -13.2162, -8.5027, 6.86157, 0, 0, 0, 0, 598.049, 0, 0, 0.00120473, 0.0001817, -0.455734, -0.52677, 35.6304, 35.6405, 0.00190474, 0, 1.01385e+06, 1.01385e+06, 0, 0
32, -25.4349, -13.2162, -8.79396, 7.15283, 0, 0, 0, 0, 127.176, 0, 0, 0.00120473, 0.0001817, -0.283853, -0.836953, 7.54414, 7.59573, 0.000412337, 0, 1.01338e+06, 1.01338e+06, 0, 0
33, -25.4349, -13.2162, -9.08522, 7.44409, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
34, -25.4349, -13.2162, -9.37648, 7.73535, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
35, -25.4349, -13.2162, -9.66774, 8.02661, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
36, -25.4349, -13.2162, -9.95901, 8.31787, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
37, -25.4349, -13.2162, -10.2503, 8.60913, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
38, -25.4349, -13.2162, -10.5415, 8.90039, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
39, -25.4349, -13.2162, -10.8328, 9.19165, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
40, -25.4349, -13.2162, -11.124, 9.48291, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
41, -25.4349, -13.2162, -11.4153, 9.77417, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
42, -25.4349, -13.2291, -11.638, 9.99727, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
43, -25.4349, -13.2419, -11.8608, 10.2204, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
44, -25.4349, -13.2548, -12.0835, 10.4435, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
45, -25.4349, -13.2676, -12.3062, 10.6666, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
46, -25.4349, -13.2805, -12.529, 10.8897, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
47, -25.4349, -13.2933, -12.7517, 11.1128, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
48, -25.4349, -13.3062, -12.9744, 11.3359, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
49, -25.4349, -13.319, -13.1971, 11.559, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
50, -25.4349, -13.3319, -13.4199, 11.7821, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
51, -25.4349, -13.3447, -13.6426, 12.0052, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
52, -25.4349, -13.3576, -13.8653, 12.2283, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
53, -25.4349, -13.3704, -14.0881, 12.4514, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
54, -25.4349, -13.3833, -14.3108, 12.6745, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
55, -25.4349, -13.3961, -14.5335, 12.8976, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
56, -25.4349, -13.409, -14.7562, 13.1207, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
57, -25.4349, -13.4218, -14.979, 13.3438, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
58, -25.4349, -13.4347, -15.2017, 13.5669, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
59, -25.4349, -13.4475, -15.4244, 13.79, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
60, -25.4349, -13.4604, -15.6472, 14.0131, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
61, -25.4349, -13.4732, -15.8699, 14.2362, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
62, -25.4349, -13.4647, -16.1397, 14.5061, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
63, -25.4349, -13.4561, -16.4096, 14.7761, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
64, -25.4349, -13.4475, -16.6794, 15.0461, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
65, -25.4349, -13.439, -16.9493, 15.3161, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
66, -25.4349, -13.4304, -17.2191, 15.5861, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
67, -25.4349, -13.4218, -17.489, 15.856, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
68, -25.4349, -13.4133, -17.7588, 16.126, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
69, -25.4349, -13.4047, -18.0286, 16.396, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
70, -25.4349, -13.3961, -18.2985, 16.666, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
71, -25.4349, -13.3876, -18.5683, 16.936, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
72, -25.4349, -13.379, -18.8382, 17.2059, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
73, -25.4349, -13.3704, -19.108, 17.4759, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
74, -25.4349, -13.3619, -19.3779, 17.7459, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
75, -25.4349, -13.3533, -19.6477, 18.0159, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
76, -25.4349, -13.3447, -19.9176, 18.2859, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
77, -25.4349, -13.3362, -20.1874, 18.5558, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
78, -25.4349, -13.3276, -20.4572, 18.8258, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
79, -25.4349, -13.319, -20.7271, 19.0958, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
80, -25.4349, -13.3105, -20.9969, 19.3658, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
81, -25.4349, -13.3019, -21.2668, 19.6358, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
82, -25.4349, -13.2762, -21.4467, 19.8175, 0, 0, 0, 0, 0, 0, 0, 0.405798, 0.000111606, 0, 0, 0, 0, 0, 0, 622369, 622369, 0, 0
83, -25.4349, -13.2505, -21.6266, 19.9992, 0, 0, 0, 0, 0, 0, 0, 1.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
84, -25.4349, -13.2248, -21.8065, 20.1809, 0, 0, 0, 0, 0, 0, 0, 0.921439, 2.22727e-05, 0, 0, 0, 0, 0, 0, 124204, 124204, 0, 0
85, -25.4349, -13.1991, -21.9864, 20.3627, 0, 0, 0, 0, 0, 0, 0, 0.41635, 0.000109778, 0, 0, 0, 0, 0, 0, 612174, 612174, 0, 0
86, -25.4349, -13.1734, -22.1663, 20.5444, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
87, -25.4349, -13.1477, -22.3462, 20.7261, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
88, -25.4349, -13.122, -22.526, 20.9078, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
89, -25.4349, -13.0963, -22.7059, 21.0895, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
90, -25.4349, -13.0706, -22.8858, 21.2713, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
91, -25.4349, -13.0449, -23.0657, 21.453, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
92, -25.4349, -13.0192, -23.2456, 21.6347, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
93, -25.4349, -12.9935, -23.4255, 21.8164, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
94, -25.4349, -12.9678, -23.6054, 21.9982, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
95, -25.4349, -12.9421, -23.7853, 22.1799, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
96, -25.4349, -12.9164, -23.9652, 22.3616, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
97, -25.4349, -12.8907, -24.1451, 22.5433, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
98, -25.4349, -12.865, -24.325, 22.7251, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
99, -25.4349, -12.8393, -24.5049, 22.9068, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
100, -25.4349, -12.8136, -24.6848, 23.0885, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
101, -25.4349, -12.7879, -24.8647, 23.2702, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
102, -25.4349, -12.7836, -25.0874, 23.493, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
103, -25.4349, -12.7794, -25.3102, 23.7158, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
104, -25.4349, -12.7751, -25.5329, 23.9385, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
105, -25.4349, -12.7708, -25.7556, 24.1613, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
106, -25.4349, -12.7665, -25.9783, 24.3841, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
107, -25.4349, -12.7622, -26.2011, 24.6068, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
108, -25.4349, -12.7579, -26.4238, 24.8296, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
109, -25.4349, -12.7537, -26.6465, 25.0524, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
110, -25.4349, -12.7494, -26.8693, 25.2752, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
111, -25.4349, -12.7451, -27.092, 25.4979, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
112, -25.4349, -12.7408, -27.3147, 25.7207, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
113, -25.4349, -12.7365, -27.5374, 25.9435, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
114, -25.4349, -12.7322, -27.7602, 26.1662, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
115, -25.4349, -12.728, -27.9829, 26.389, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
116, -25.4349, -12.7237, -28.2056, 26.6118, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
117, -25.4349, -12.7194, -28.4284, 26.8345, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
118, -25.4349, -12.7151, -28.6511, 27.0573, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
